MID,DISCIPL,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,COMMONNAME,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
8401700082,SCI,360895575, ,A57,38613936,712110,PEGGY NOTEBAERT NATURE MUSEUM,CHICAGO ACADEMY OF SCIENCES, , ,2430 N CANNON DRIVE,CHICAGO,IL,60614,60614,2430 N CANNON DRIVE,CHICAGO,IL,60614,60614,7737555100,HTTP://WWW.NATUREMUSEUM.ORG,CHICAGO ACADEMY OF SCIENCES,201306,7,6616132,6070703,2430 N CANNON DR,CHICAGO,IL,60614-2874,193310, , , , ,-87.63733,41.9312,4,3,1,17,31,2430 N CANNON DRIVE,CHICAGO,IL,60614,60614,1,1,0,0,0,0,0, 
8401700131,ART, , , , , ,ILLINOIS STATE MUSEUM CHICAGO GALLERY,ILLINOIS STATE MUSEUM CHICAGO GALLERY, , ,100 W RANDOLPH ST,CHICAGO,IL,60601,60601, , , , , ,3128145322, , , , , , , , , , , , , , , ,-87.63095,41.88456,4,3,1,17,31,100 W RANDOLPH ST,CHICAGO,IL,60601,60601,0,0,0,1,0,0,0, 
8401700158,ART, , , , , ,GRAHAM FOUNDATION FOR ADVANCED STUDIES IN FINE ARTS,GRAHAM FOUNDATION FOR ADVANCED TDS IN FNE ARTS, , ,4 W BURTON PL,CHICAGO,IL,60610,60610, , , , , ,3127874071,HTTP://WWW.GRAHAMFOUNDATION.ORG, , , , , , , , , , , , , , ,-87.62985,41.90955,4,3,1,17,31,4 W BURTON PL,CHICAGO,IL,60610,60610,0,0,0,1,0,0,0, 
8401700215,HST,363985457, ,A54, ,712110,CLARKE HOUSE MUSEUM,GLESSNER HOUSE MUSEUM, , ,1800 SOUTH PRAIRIE AVENUE,CHICAGO,IL,60616,60616, , , , , ,3123261393, ,GLESSNER HOUSE MUSEUM,201406,4,414652,407266,1800 S PRAIRIE AVE,CHICAGO,IL,60616-1320,199502, , , , ,-87.62085,41.85791,4,3,1,17,31,1800 S PRAIRIE AVE,CHICAGO,IL,60616-1320,60616,1,1,0,0,0,0,0, 
8401700228,CMU,363162484, ,A52,148309024,712110,CHICAGO CHILDREN'S MUSEUM,CHICAGO CHILDRENS MUSEUM, , ,700 E GRAND AVE,CHICAGO,IL,60611,60611, , , , , ,3125271000,HTTP://WWW.CHICAGOCHILDRENSMUSEUM.ORG,CHICAGO CHILDRENS MUSEUM,201306,7,9224036,8955391,700 E GRAND AVE STE 127,CHICAGO,IL,60611-3580,198204, , , , ,-87.61409,41.89199,4,3,1,17,31,700 E GRAND AVE STE 127,CHICAGO,IL,60611-3580,60611,1,0,0,1,0,0,0, 
8401700236,ART,363784666, ,A54, ,712110,CHICAGO BLUES MUSEUM GALLERY,CHICAGO BLUES MUSEUM, , ,3636 S IRON ST,CHICAGO,IL,60609,60609, , , , , ,7738288118, ,CHICAGO BLUES MUSEUM,201312,0,0,0,PO BOX 81401,CHICAGO,IL,60681-0401,199301, , , , ,-87.62296,41.88438,4,3,1,17,31,PO BOX 81401,CHICAGO,IL,60681-0401,60681,1,0,0,1,0,0,0, 
8401700383,ART,237186981, , ,171672181,710000,NATIONAL UKRANIAN MUSEUM,UKRAINIAN INSTITUTE OF MODERN ART, , ,2320 W CHICAGO AVE,CHICAGO,IL,60622-4722,60622, , , , , ,7732275522, ,UKRAINIAN INSTITUTE OF MODERN ART,201312,4,251585,251585,2320 W CHICAGO AVE,CHICAGO,IL,60622-4722,197206, , , , ,-87.6849,41.89586,4,3,1,17,31,2320 W CHICAGO AVE,CHICAGO,IL,60622-4722,60622,1,0,0,1,0,0,0, 
8401700406,ART,237359897, , ,79756599,710000,SOUTH SIDE COMMUNITY ART CENTER,SOUTH SIDE COMMUNITY ART CENTER, , ,3831 S MICHIGAN AVE,CHICAGO,IL,60653-1513,60653, , , , , ,7733731026, ,SOUTH SIDE COMMUNITY ART CENTER,201312,4,255189,255189,3831 S MICHIGAN AVE,CHICAGO,IL,60653-1513,197404, , , , ,-87.6232,41.82453,4,3,1,17,31,3831 S MICHIGAN AVE,CHICAGO,IL,60653-1513,60653,1,0,0,1,0,0,0, 
8401700452,HST,263013263, ,A54, ,712110,MUSEUM AFRICA,MUSEUM AFRICA INC, , ,8247 S OGLESBY AVENUE,CHICAGO,IL,60617-1927,60617, , , , , ,3128786402, ,MUSEUM AFRICA INC,201312,0,0,0,8247 S OGLESBY AVE,CHICAGO,IL,60617-1927,201102, , , , ,-87.56726,41.74496,4,3,1,17,31,8247 S OGLESBY AVE,CHICAGO,IL,60617-1927,60617,1,0,0,0,0,0,0, 
8401700455,ART,263287848, , , , ,MUSEUM OF MODERN ART,MUSEUM OF MODERN ART, , ,6540 N WASHTENAW AVE,CHICAGO,IL,60645,60645,220 E CHICAGO AVE,CHICAGO,IL,60645,60645,3122802660, , , , , , , , , , , , , , , ,-87.62195,41.89685,4,3,1,17,31,220 E CHICAGO AVE,CHICAGO,IL,60645,60645,0,0,0,0,0,0,0, 
