block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_43938,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49914,2_merged_579288,570815,
b_43934,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49914,2_merged_579288,570814,
b_43936,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49914,2_merged_579288,570817,
b_43937,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49914,2_merged_579288,570816,
b_43937,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49914,2_merged_579288,570811,
b_43938,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49914,2_merged_579288,570810,
b_43935,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49914,2_merged_579288,570813,
b_43936,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49914,2_merged_579288,570812,
b_43983,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,2_merged_579288,571434,
b_43983,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,2_merged_579288,571435,
b_43983,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,2_merged_579288,571436,
b_43983,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,2_merged_579288,571437,
b_43934,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49914,2_merged_579288,570819,
b_43935,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49914,2_merged_579288,570818,
b_43983,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,2_merged_579288,571432,
b_43983,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,2_merged_579288,571433,
a_43381,0,10,0,1,DART CENTRAL STATION,49470,1_merged_579275,561642,
a_43380,0,10,0,1,DART CENTRAL STATION,49470,1_merged_579275,561643,
a_43380,0,10,0,1,DART CENTRAL STATION,49470,1_merged_579275,561640,
a_43381,0,10,0,1,DART CENTRAL STATION,49470,1_merged_579275,561641,
a_43383,0,11,0,0,VALLEY JUNCTION,49476,1_merged_579275,561646,
a_43382,0,11,0,0,VALLEY JUNCTION,49475,1_merged_579275,561647,
a_43381,0,10,0,1,DART CENTRAL STATION,49470,1_merged_579275,561644,
a_43382,0,11,0,0,VALLEY JUNCTION,49475,1_merged_579275,561645,
a_43379,0,15,0,0,PARK FAIR MALL,49514,3_merged_579276,562113,
a_43427,0,15,0,0,PARK FAIR MALL,49514,3_merged_579276,562112,
a_43382,0,11,0,0,VALLEY JUNCTION,49475,1_merged_579275,561648,
a_43382,0,11,0,0,VALLEY JUNCTION,49475,1_merged_579275,561649,
a_43379,0,15,0,0,PARK FAIR MALL,49514,3_merged_579276,562117,
a_43427,0,15,0,0,PARK FAIR MALL,49514,3_merged_579276,562116,
a_43378,0,15,0,0,PARK FAIR MALL,49514,3_merged_579276,562115,
a_43427,0,15,0,0,PARK FAIR MALL,49514,3_merged_579276,562114,
b_44008,0,7,0,1,#7 SW 9TH TO DART CENTRAL STATION,50001,1_merged_579286,572189,
b_44009,0,7,0,1,#7 SW 9TH TO DART CENTRAL STATION,50001,1_merged_579286,572188,
b_43937,0,3,0,0,#3 UNIVERSITY TO VALLEY WEST MALL,49910,2_merged_579288,570780,
